field0,field1,field2
|file:///home/lina/data/deltas/org.springframework/spring-core/3.2.2.RELEASE_to_3.2.3.RELEASE.delta|,1,2
|file:///home/lina/data/deltas/org.openehealth.ipf.platform-camel/ipf-platform-camel-hl7/3.4.3_to_3.5.0.delta|,1,2
|file:///home/lina/data/deltas/org.openehealth.ipf.platform-camel/ipf-platform-camel-hl7/3.4.2_to_3.5-20180302.delta|,1,2
|file:///home/lina/data/deltas/org.springframework/spring-expression/5.0.4.RELEASE_to_5.0.5.RELEASE.delta|,1,4
|file:///home/lina/data/deltas/com.netflix.spectator/spectator-nflx-plugin/0.24.0_to_0.30.0.delta|,1,7
|file:///home/lina/data/deltas/org.springframework/spring-expression/3.1.3.RELEASE_to_3.2.0.RELEASE.delta|,1,8
|file:///home/lina/data/deltas/org.springframework/spring-jdbc/3.0.4.RELEASE_to_3.0.5.RELEASE.delta|,1,10
|file:///home/lina/data/deltas/net.serenity-bdd/serenity-junit/1.1.39_to_1.2.2.delta|,1,11
|file:///home/lina/data/deltas/org.neo4j/neo4j-graph-algo/1.8.3_to_1.9.2.delta|,1,12
|file:///home/lina/data/deltas/org.neo4j/neo4j-graph-algo/1.9.M04_to_1.9.M05.delta|,1,12
|file:///home/lina/data/deltas/org.neo4j/neo4j-graph-algo/1.8.2_to_1.9.M05.delta|,1,12
|file:///home/lina/data/deltas/org.springframework/spring-jdbc/3.0.7.RELEASE_to_3.1.1.RELEASE.delta|,1,13
|file:///home/lina/data/deltas/org.springframework/spring-jdbc/3.0.6.RELEASE_to_3.1.0.RELEASE.delta|,1,13
|file:///home/lina/data/deltas/org.springframework/spring-core/4.2.2.RELEASE_to_4.2.3.RELEASE.delta|,1,16
|file:///home/lina/data/deltas/org.springframework/spring-expression/4.0.0.RELEASE_to_4.0.2.RELEASE.delta|,1,20
|file:///home/lina/data/deltas/org.springframework/spring-expression/3.2.9.RELEASE_to_4.0.5.RELEASE.delta|,1,23
|file:///home/lina/data/deltas/org.springframework/spring-expression/3.2.7.RELEASE_to_4.0.2.RELEASE.delta|,1,23
|file:///home/lina/data/deltas/org.springframework/spring-expression/3.2.8.RELEASE_to_4.0.3.RELEASE.delta|,1,23
|file:///home/lina/data/deltas/org.springframework/spring-expression/3.2.11.RELEASE_to_4.1.1.RELEASE.delta|,1,28
|file:///home/lina/data/deltas/org.springframework/spring-expression/3.2.10.RELEASE_to_4.1.0.RELEASE.delta|,1,28
|file:///home/lina/data/deltas/org.springframework/spring-expression/3.2.17.RELEASE_to_4.3.0.RELEASE.delta|,1,32
|file:///home/lina/data/deltas/org.springframework/spring-expression/3.2.16.RELEASE_to_4.2.5.RELEASE.delta|,1,32
|file:///home/lina/data/deltas/org.springframework/spring-expression/3.2.14.RELEASE_to_4.2.0.RELEASE.delta|,1,33
|file:///home/lina/data/deltas/org.springframework/spring-expression/3.2.12.RELEASE_to_4.1.3.RELEASE.delta|,1,33
|file:///home/lina/data/deltas/org.springframework/spring-expression/3.2.13.RELEASE_to_4.1.5.RELEASE.delta|,1,33
|file:///home/lina/data/deltas/org.springframework/spring-expression/3.2.15.RELEASE_to_4.1.8.RELEASE.delta|,1,33
|file:///home/lina/data/deltas/org.springframework/spring-expression/3.2.18.RELEASE_to_4.3.6.RELEASE.delta|,1,34
|file:///home/lina/data/deltas/org.jboss.resteasy/resteasy-client-microprofile/3.6.0.Final_to_3.6.1.Final.delta|,1,37
|file:///home/lina/data/deltas/org.springframework/spring-core/4.0.0.RELEASE_to_4.0.1.RELEASE.delta|,1,50
|file:///home/lina/data/deltas/org.apache.derby/derby/10.11.1.1_to_10.12.1.1.delta|,1,65
|file:///home/lina/data/deltas/io.vertx/vertx-core/3.5.1_to_3.5.2.CR1.delta|,1,74
|file:///home/lina/data/deltas/org.springframework/spring-expression/4.3.17.RELEASE_to_5.0.6.RELEASE.delta|,1,82
|file:///home/lina/data/deltas/org.springframework/spring-expression/4.3.18.RELEASE_to_5.0.8.RELEASE.delta|,1,82
