field0,field1,field2
|file:///home/lina/data/deltas/org.springframework/spring-jdbc/5.0.1.RELEASE_to_5.0.2.RELEASE.delta|,1,1
|file:///home/lina/data/deltas/org.apache.cxf/cxf-rt-management/2.6.16_to_2.7.13.delta|,1,1
|file:///home/lina/data/deltas/org.apache.cxf/cxf-rt-management/2.6.8_to_2.7.5.delta|,1,1
|file:///home/lina/data/deltas/org.apache.cxf/cxf-rt-management/2.6.6_to_2.7.3.delta|,1,1
|file:///home/lina/data/deltas/org.apache.cxf/cxf-rt-management/2.6.3_to_2.7.0.delta|,1,1
|file:///home/lina/data/deltas/org.apache.cxf/cxf-rt-frontend-jaxws/2.6.7_to_2.7.4.delta|,1,1
|file:///home/lina/data/deltas/org.apache.cxf/cxf-rt-frontend-jaxws/2.6.4_to_2.7.1.delta|,1,1
|file:///home/lina/data/deltas/org.apache.cxf/cxf-rt-frontend-jaxws/2.6.8_to_2.7.5.delta|,1,1
|file:///home/lina/data/deltas/org.apache.cxf/cxf-rt-frontend-jaxws/2.6.5_to_2.7.2.delta|,1,1
|file:///home/lina/data/deltas/org.apache.cxf/cxf-rt-frontend-jaxws/2.6.6_to_2.7.3.delta|,1,1
|file:///home/lina/data/deltas/org.apache.cxf/cxf-rt-frontend-jaxws/2.6.3_to_2.7.0.delta|,1,1
|file:///home/lina/data/deltas/org.apache.cxf/cxf-rt-management/2.2.5_to_2.2.6.delta|,1,1
|file:///home/lina/data/deltas/org.apache.cxf/cxf-rt-management/2.2.7_to_2.2.8.delta|,1,1
|file:///home/lina/data/deltas/org.apache.cxf/cxf-rt-management/2.1.8_to_2.1.9.delta|,1,1
|file:///home/lina/data/deltas/org.apache.cxf/cxf-rt-frontend-jaxws/2.2.5_to_2.2.6.delta|,1,1
|file:///home/lina/data/deltas/org.apache.cxf/cxf-rt-frontend-jaxws/2.1.8_to_2.1.9.delta|,1,1
|file:///home/lina/data/deltas/org.apache.cxf/cxf-rt-frontend-jaxws/2.2.7_to_2.2.8.delta|,1,1
|file:///home/lina/data/deltas/org.apache.cxf/cxf-rt-frontend-jaxws/2.6.9_to_2.7.6.delta|,1,2
|file:///home/lina/data/deltas/org.apache.cxf/cxf-rt-frontend-jaxws/2.6.11_to_2.7.8.delta|,1,2
|file:///home/lina/data/deltas/org.apache.cxf/cxf-rt-frontend-jaxws/2.6.10_to_2.7.7.delta|,1,2
|file:///home/lina/data/deltas/org.apache.cxf/cxf-rt-frontend-jaxws/2.6.16_to_2.7.13.delta|,1,5
|file:///home/lina/data/deltas/org.neo4j/neo4j-udc/1.8.M07_to_1.8.RC1.delta|,1,9
|file:///home/lina/data/deltas/org.apache.cxf/cxf-rt-management/2.6.4_to_2.7.1.delta|,1,11
|file:///home/lina/data/deltas/org.apache.cxf/cxf-rt-management/2.6.5_to_2.7.2.delta|,1,11
|file:///home/lina/data/deltas/org.springframework/spring-core/2.0-m5_to_2.0.delta|,1,13
|file:///home/lina/data/deltas/org.apache.camel/camel-cxf/2.4.0_to_2.5.0.delta|,1,20
