field0,field1,field2
|file:///home/lina/data/deltas/org.glassfish.jersey.core/jersey-common/2.1_to_2.2.delta|,1,1
|file:///home/lina/data/deltas/org.apache.cxf/cxf-rt-ws-addr/2.2.5_to_2.2.6.delta|,1,1
|file:///home/lina/data/deltas/org.apache.cxf/cxf-rt-ws-addr/2.1.8_to_2.1.9.delta|,1,1
|file:///home/lina/data/deltas/org.apache.cxf/cxf-rt-ws-addr/2.2.7_to_2.2.8.delta|,1,1
|file:///home/lina/data/deltas/com.netflix.spectator/spectator-nflx-plugin/0.21.0_to_0.24.0.delta|,1,2
|file:///home/lina/data/deltas/org.apache.santuario/xmlsec/2.0.5_to_2.0.6.delta|,1,3
|file:///home/lina/data/deltas/org.apache.ant/ant/1.8.0_to_1.8.1.delta|,1,4
|file:///home/lina/data/deltas/org.ehcache/ehcache/3.3.1_to_3.4.0.delta|,1,7
|file:///home/lina/data/deltas/org.seleniumhq.selenium/selenium-firefox-driver/2.25.0_to_2.26.0.delta|,1,8
|file:///home/lina/data/deltas/org.apache.camel/camel-http/2.8.5_to_2.13.0.delta|,1,9
|file:///home/lina/data/deltas/org.glassfish.jersey.core/jersey-common/2.0-m13-2_to_2.0-m13-3.delta|,1,9
|file:///home/lina/data/deltas/com.netflix.eureka/eureka-client/1.1.114_to_1.1.123.delta|,1,9
|file:///home/lina/data/deltas/co.fs2/fs2-core_2.12/0.9.2_to_0.9.4.delta|,1,9
|file:///home/lina/data/deltas/org.apache.camel/camel-core/2.15.2_to_2.15.3.delta|,1,11
|file:///home/lina/data/deltas/org.springframework/spring-core/4.3.6.RELEASE_to_4.3.7.RELEASE.delta|,1,12
|file:///home/lina/data/deltas/org.drools/drools-compiler/6.0.0.Beta5_to_6.0.0.CR1.delta|,1,13
|file:///home/lina/data/deltas/org.apache.cxf/cxf-rt-ws-security/2.2.11_to_2.3.0.delta|,1,13
|file:///home/lina/data/deltas/org.springframework/spring-core/3.0.2.RELEASE_to_3.0.3.RELEASE.delta|,1,22
|file:///home/lina/data/deltas/org.glassfish.jersey.core/jersey-common/2.7_to_2.8.delta|,1,24
|file:///home/lina/data/deltas/org.neo4j/neo4j-graph-algo/2.1.0-M02_to_2.1.0-RC1.delta|,1,25
|file:///home/lina/data/deltas/org.neo4j/neo4j-graph-algo/2.0.3_to_2.1.0-RC1.delta|,1,26
|file:///home/lina/data/deltas/org.scala-lang/scala-library/2.11.0-M4_to_2.11.0-M5.delta|,1,27
|file:///home/lina/data/deltas/org.commonjava.aprox/aprox-api/0.20.0_to_0.21.0.delta|,1,27
|file:///home/lina/data/deltas/org.apache.cxf/cxf-rt-ws-security/2.2.12_to_2.3.1.delta|,1,27
|file:///home/lina/data/deltas/org.glassfish.jersey.core/jersey-common/2.4.1_to_2.5.delta|,1,29
|file:///home/lina/data/deltas/com.google.guava/guava/10.0-rc1_to_10.0.delta|,1,30
|file:///home/lina/data/deltas/org.eclipse.persistence/eclipselink/2.6.0_to_2.6.1-RC1.delta|,1,38
|file:///home/lina/data/deltas/org.apache.santuario/xmlsec/2.0.0_to_2.0.1.delta|,1,38
|file:///home/lina/data/deltas/org.openrdf.sesame/sesame-model/2.7.0-beta2_to_2.7.0.delta|,1,43
|file:///home/lina/data/deltas/org.springframework/spring-core/4.1.7.RELEASE_to_4.2.0.RELEASE.delta|,1,50
|file:///home/lina/data/deltas/org.apache.camel/camel-http/1.6.0_to_2.2.0.delta|,1,51
|file:///home/lina/data/deltas/org.springframework/spring-core/4.1.8.RELEASE_to_4.2.2.RELEASE.delta|,1,53
|file:///home/lina/data/deltas/org.springframework/spring-core/4.1.9.RELEASE_to_4.2.4.RELEASE.delta|,1,59
|file:///home/lina/data/deltas/org.apache.derby/derby/10.11.1.1_to_10.12.1.1.delta|,1,65
|file:///home/lina/data/deltas/javax.ws.rs/javax.ws.rs-api/RELEASE_to_2.1-m01.delta|,1,68
|file:///home/lina/data/deltas/org.commonjava.aprox/aprox-api/0.19.1_to_0.19.2.delta|,1,69
|file:///home/lina/data/deltas/io.vertx/vertx-core/3.5.1_to_3.5.2.CR1.delta|,1,74
|file:///home/lina/data/deltas/org.ehcache/ehcache/3.2.0.beta1_to_3.2.0.delta|,1,83
|file:///home/lina/data/deltas/org.apache.solr/solr-core/3.3.0_to_3.4.0.delta|,1,91
|file:///home/lina/data/deltas/com.google.guava/guava/13.0-rc1_to_13.0-rc2.delta|,1,91
|file:///home/lina/data/deltas/org.ehcache/ehcache/3.2.2_to_3.3.1.delta|,1,101
|file:///home/lina/data/deltas/org.ehcache/ehcache/3.2.1_to_3.3.0.delta|,1,101
|file:///home/lina/data/deltas/javax.ws.rs/javax.ws.rs-api/2.0-m01_to_2.0-m03.delta|,1,106
|file:///home/lina/data/deltas/org.apache.solr/solr-core/4.9.0_to_4.10.1.delta|,1,108
|file:///home/lina/data/deltas/org.springframework/spring-expression/5.0.9.RELEASE_to_5.1.0.RELEASE.delta|,1,109
|file:///home/lina/data/deltas/com.android.tools/sdklib/22.7.2_to_22.8.0.delta|,1,109
|file:///home/lina/data/deltas/com.netflix.eureka/eureka-client/1.3.4_to_1.4.6.delta|,1,110
|file:///home/lina/data/deltas/javax.ws.rs/javax.ws.rs-api/2.0-m09_to_2.0-m10.delta|,1,112
