field0,field1,field2
|file:///home/lina/data/deltas/org.eclipse.jetty/jetty-http/9.4.0.M1_to_9.4.0.RC0.delta|,1,1
|file:///home/lina/data/deltas/io.gravitee.gateway/gravitee-gateway-env/1.12.5_to_1.13.3.delta|,1,2
|file:///home/lina/data/deltas/org.drools/drools-compiler/6.0.0.CR4_to_6.0.0.CR5.delta|,1,2
|file:///home/lina/data/deltas/org.apache.cxf/cxf-rt-ws-addr/2.4.6_to_2.5.2.delta|,1,2
|file:///home/lina/data/deltas/org.apache.cxf/cxf-rt-ws-addr/2.4.5_to_2.5.1.delta|,1,2
|file:///home/lina/data/deltas/org.drools/drools-compiler/6.0.0.CR4-Pre1_to_6.0.0.CR5.delta|,1,3
|file:///home/lina/data/deltas/com.netflix.eureka/eureka-client/1.1.110_to_1.1.114.delta|,1,3
|file:///home/lina/data/deltas/org.apache.santuario/xmlsec/2.0.5_to_2.0.6.delta|,1,3
|file:///home/lina/data/deltas/org.apache.camel/camel-flatpack/2.17.2_to_2.18.0.delta|,1,4
|file:///home/lina/data/deltas/org.commonjava.aprox/aprox-api/0.8.2_to_0.9.0.delta|,1,5
|file:///home/lina/data/deltas/org.apache.cxf/cxf-rt-management/2.2_to_2.2.2.delta|,1,5
|file:///home/lina/data/deltas/org.apache.solr/solr-core/4.10.1_to_4.10.4.delta|,1,6
|file:///home/lina/data/deltas/org.ehcache/ehcache/3.3.1_to_3.4.0.delta|,1,7
|file:///home/lina/data/deltas/org.apache.cxf/cxf-rt-ws-addr/2.4.9_to_2.5.5.delta|,1,8
|file:///home/lina/data/deltas/org.apache.cxf/cxf-rt-ws-addr/2.4.10_to_2.5.6.delta|,1,8
|file:///home/lina/data/deltas/org.apache.camel/camel-http/2.8.5_to_2.13.0.delta|,1,9
|file:///home/lina/data/deltas/com.netflix.eureka/eureka-client/1.1.114_to_1.1.123.delta|,1,9
|file:///home/lina/data/deltas/org.apache.cxf/cxf-rt-ws-addr/2.4.8_to_2.5.4.delta|,1,9
|file:///home/lina/data/deltas/org.springframework/spring-jdbc/3.0.4.RELEASE_to_3.0.5.RELEASE.delta|,1,10
|file:///home/lina/data/deltas/net.serenity-bdd/serenity-junit/1.1.39_to_1.2.2.delta|,1,11
|file:///home/lina/data/deltas/org.apache.camel/camel-core/2.15.2_to_2.15.3.delta|,1,11
|file:///home/lina/data/deltas/org.springframework/spring-jdbc/3.0.7.RELEASE_to_3.1.1.RELEASE.delta|,1,13
|file:///home/lina/data/deltas/org.springframework/spring-jdbc/3.0.6.RELEASE_to_3.1.0.RELEASE.delta|,1,13
|file:///home/lina/data/deltas/org.springframework/spring-core/4.2.2.RELEASE_to_4.2.3.RELEASE.delta|,1,16
|file:///home/lina/data/deltas/org.neo4j/neo4j-udc/2.3.0-M02_to_3.3.5.delta|,1,16
|file:///home/lina/data/deltas/org.springframework/spring-jdbc/2.0.4_to_2.0.5.delta|,1,21
|file:///home/lina/data/deltas/net.serenity-bdd/serenity-core/1.4.1-rc.3_to_1.4.1-rc.4.delta|,1,22
|file:///home/lina/data/deltas/org.glassfish.jersey.core/jersey-common/2.16_to_2.17.delta|,1,24
|file:///home/lina/data/deltas/org.apache.nifi/nifi-utils/1.1.0_to_1.2.0.delta|,1,25
|file:///home/lina/data/deltas/org.drools/drools-compiler/7.5.0.Final_to_7.6.0.t022.delta|,1,28
|file:///home/lina/data/deltas/org.drools/drools-compiler/7.5.0.t018_to_7.6.0.t022.delta|,1,31
|file:///home/lina/data/deltas/io.dropwizard/dropwizard-client/0.9.3_to_1.0.0.delta|,1,32
|file:///home/lina/data/deltas/org.eclipse.persistence/org.eclipse.persistence.core/2.5.1_to_2.5.2-RC1.delta|,1,32
|file:///home/lina/data/deltas/org.apache.cxf/cxf-rt-ws-addr/2.4.7_to_2.5.3.delta|,1,36
|file:///home/lina/data/deltas/org.apache.cxf/cxf-rt-ws-addr/2.4.3_to_2.5.0.delta|,1,36
|file:///home/lina/data/deltas/org.neo4j/neo4j-udc/2.2.10_to_3.3.5.delta|,1,36
