field0,field1,field2
|file:///home/lina/data/deltas/net.serenity-bdd/serenity-core/1.1.25-rc.2_to_1.1.25-rc.3.delta|,1,1
|file:///home/lina/data/deltas/org.apache.cxf/cxf-tools-wsdlto-databinding-jaxb/3.1.8_to_3.1.9.delta|,1,1
|file:///home/lina/data/deltas/org.uberfire/uberfire-backend-api/0.7.4.Final_to_0.8.0.Beta1.delta|,1,1
|file:///home/lina/data/deltas/io.fabric8/openshift-client/1.4.31_to_1.4.32.delta|,1,1
|file:///home/lina/data/deltas/io.fabric8/openshift-client/1.4.32_to_1.4.33.delta|,1,1
|file:///home/lina/data/deltas/org.http4s/http4s-core_2.11/0.10.0_to_0.10.1.delta|,1,1
|file:///home/lina/data/deltas/org.neo4j/neo4j-udc/2.0.0-M03_to_2.0.0-M04.delta|,1,1
|file:///home/lina/data/deltas/org.neo4j/neo4j-udc/1.9.5_to_2.0.0-RC1.delta|,1,1
|file:///home/lina/data/deltas/io.fabric8/openshift-client/2.2.6_to_2.2.7.delta|,1,1
|file:///home/lina/data/deltas/io.fabric8/openshift-client/1.3.100_to_1.3.102.delta|,1,1
|file:///home/lina/data/deltas/io.fabric8/openshift-client/1.4.16_to_1.4.17.delta|,1,1
|file:///home/lina/data/deltas/org.drools/drools-compiler/7.0.0.CR2_to_7.0.0.CR3.delta|,1,1
|file:///home/lina/data/deltas/org.apache.cxf/cxf-rt-frontend-jaxws/2.3.6_to_2.4.2.delta|,1,1
|file:///home/lina/data/deltas/org.apache.cxf/cxf-rt-frontend-jaxws/2.3.7_to_2.4.3.delta|,1,1
|file:///home/lina/data/deltas/org.apache.cxf/cxf-rt-frontend-jaxws/2.3.4_to_2.4.0.delta|,1,1
|file:///home/lina/data/deltas/org.apache.cxf/cxf-rt-frontend-jaxws/2.3.5_to_2.4.1.delta|,1,1
|file:///home/lina/data/deltas/net.serenity-bdd/serenity-core/1.1.13_to_1.1.14.delta|,1,1
|file:///home/lina/data/deltas/net.serenity-bdd/serenity-core/1.0.56_to_1.0.57.delta|,1,1
|file:///home/lina/data/deltas/com.fasterxml.jackson.module/jackson-module-parameter-names/2.7.3_to_2.7.4.delta|,1,1
|file:///home/lina/data/deltas/org.kie.server/kie-server-api/7.0.0.Beta8_to_7.0.0.CR1.delta|,1,1
|file:///home/lina/data/deltas/org.apache.cxf/cxf-rt-management/3.1.8_to_3.1.9.delta|,1,1
|file:///home/lina/data/deltas/org.apache.cxf/cxf-rt-frontend-jaxws/2.2.8_to_2.2.9.delta|,1,1
|file:///home/lina/data/deltas/io.dropwizard/dropwizard-client/1.0.6_to_1.1.0.delta|,1,1
|file:///home/lina/data/deltas/org.neo4j/neo4j-graph-algo/1.8_to_1.9.M01.delta|,1,1
|file:///home/lina/data/deltas/org.neo4j/neo4j-graph-algo/2.2.4_to_2.2.5.delta|,1,1
|file:///home/lina/data/deltas/org.atmosphere/atmosphere-vertx/1.0.0.RC1_to_2.0.0.delta|,1,1
|file:///home/lina/data/deltas/com.netflix.eureka/eureka-client/1.8.7_to_1.9.2.delta|,1,1
|file:///home/lina/data/deltas/org.neo4j/neo4j-udc/1.9.4_to_2.0.0-M06.delta|,1,1
|file:///home/lina/data/deltas/org.apache.activemq/activemq-pool/5.5.1_to_5.6.0.delta|,1,1
|file:///home/lina/data/deltas/org.neo4j/neo4j-udc/1.9.2_to_2.0.0-M04.delta|,1,1
|file:///home/lina/data/deltas/org.neo4j/neo4j-udc/1.9.3_to_2.0.0-M05.delta|,1,1
|file:///home/lina/data/deltas/org.apache.camel/camel-core/2.17.2_to_2.17.3.delta|,1,1
|file:///home/lina/data/deltas/com.google.guava/guava/11.0_to_11.0.1.delta|,1,1
|file:///home/lina/data/deltas/org.apache.cxf/cxf-rt-ws-addr/3.1.11_to_3.1.12.delta|,1,1
|file:///home/lina/data/deltas/org.eclipse.persistence/org.eclipse.persistence.core/2.6.1-RC1_to_2.6.2.delta|,1,1
|file:///home/lina/data/deltas/com.typesafe.akka/akka-cluster_2.11/2.4.14_to_2.4.16.delta|,1,2
|file:///home/lina/data/deltas/org.apache.cxf/cxf-rt-ws-security/3.0.2_to_3.0.3.delta|,1,2
|file:///home/lina/data/deltas/io.dropwizard/dropwizard-client/0.8.3_to_0.8.4.delta|,1,2
|file:///home/lina/data/deltas/org.apache.camel/camel-core/2.19.0_to_2.19.1.delta|,1,2
