field0,field1,field2
|file:///home/lina/data/deltas/org.openrdf.sesame/sesame-model/2.8.5_to_2.8.6.delta|,1,1
|file:///home/lina/data/deltas/org.neo4j/neo4j-graph-algo/2.1.2_to_2.1.3.delta|,1,1
|file:///home/lina/data/deltas/org.eclipse.jetty/jetty-http/8.1.0.v20120127_to_8.1.1.v20120215.delta|,1,1
|file:///home/lina/data/deltas/com.android.tools/sdklib/23.0.1_to_23.0.2.delta|,1,1
|file:///home/lina/data/deltas/org.springframework/spring-jdbc/4.3.3.RELEASE_to_4.3.4.RELEASE.delta|,1,2
|file:///home/lina/data/deltas/org.apache.cxf/cxf-rt-ws-addr/2.1.10_to_2.2.9.delta|,1,2
|file:///home/lina/data/deltas/org.neo4j/neo4j-graph-algo/2.0.4_to_2.1.3.delta|,1,3
|file:///home/lina/data/deltas/org.apache.cxf/cxf-rt-ws-addr/2.2.8_to_2.2.9.delta|,1,3
|file:///home/lina/data/deltas/org.neo4j/neo4j-graph-algo/1.9.9_to_2.1.6.delta|,1,3
|file:///home/lina/data/deltas/org.apache.cxf/cxf-rt-ws-security/2.2.6_to_2.2.7.delta|,1,5
|file:///home/lina/data/deltas/org.eclipse.jetty/jetty-http/9.0.4.v20130625_to_9.0.5.v20130815.delta|,1,5
|file:///home/lina/data/deltas/org.apache.cxf/cxf-rt-frontend-jaxws/2.2.6_to_2.2.7.delta|,1,6
|file:///home/lina/data/deltas/org.eclipse.jetty/jetty-io/8.0.1.v20110908_to_8.0.2.v20111006.delta|,1,9
|file:///home/lina/data/deltas/org.eclipse.jetty/jetty-io/7.4.5.v20110725_to_7.5.0.RC0.delta|,1,10
|file:///home/lina/data/deltas/org.neo4j/neo4j-graph-algo/2.3.0-M01_to_2.3.0-M02.delta|,1,11
|file:///home/lina/data/deltas/org.eclipse.jetty/jetty-io/8.0.0.M3_to_8.0.0.RC0.delta|,1,11
|file:///home/lina/data/deltas/org.ehcache/ehcache/3.1.1_to_3.1.2.delta|,1,11
|file:///home/lina/data/deltas/org.apache.cxf/cxf-rt-frontend-jaxws/2.2.12_to_2.3.1.delta|,1,11
|file:///home/lina/data/deltas/org.apache.cxf/cxf-rt-frontend-jaxws/2.2.11_to_2.3.0.delta|,1,11
|file:///home/lina/data/deltas/org.eclipse.jetty/jetty-http/7.4.5.v20110725_to_7.5.0.RC0.delta|,1,13
|file:///home/lina/data/deltas/org.eclipse.jetty/jetty-http/8.0.0.M3_to_8.0.0.RC0.delta|,1,13
|file:///home/lina/data/deltas/org.uberfire/uberfire-widgets-core-client/1.1.0.Beta1_to_1.1.0.Beta2.delta|,1,19
|file:///home/lina/data/deltas/org.uberfire/uberfire-widgets-core-client/1.0.0.Final_to_1.1.0.Beta2.delta|,1,19
|file:///home/lina/data/deltas/org.apache.derby/derby/10.2.1.6_to_10.2.2.0.delta|,1,21
|file:///home/lina/data/deltas/org.apache.hadoop/hadoop-mapreduce-client-core/2.7.1_to_2.7.2.delta|,1,23
|file:///home/lina/data/deltas/org.drools/drools-compiler/7.6.0.t022_to_7.7.0.Final.delta|,1,26
|file:///home/lina/data/deltas/org.drools/drools-compiler/7.6.0.Final_to_7.7.0.Final.delta|,1,26
|file:///home/lina/data/deltas/org.neo4j/neo4j-graph-algo/3.0.0-M01_to_3.0.0-M02.delta|,1,40
|file:///home/lina/data/deltas/com.android.tools/sdklib/22.2.1_to_22.4.0.delta|,1,70
|file:///home/lina/data/deltas/org.neo4j/neo4j-graph-algo/2.3.2_to_3.0.0-M03.delta|,1,91
|file:///home/lina/data/deltas/org.neo4j/neo4j-graph-algo/2.3.4_to_3.1.0-M02.delta|,1,93
|file:///home/lina/data/deltas/org.neo4j/neo4j-graph-algo/2.3.5_to_3.1.0-M04.delta|,1,93
|file:///home/lina/data/deltas/org.neo4j/neo4j-graph-algo/2.3.3_to_3.0.0-RC1.delta|,1,93
|file:///home/lina/data/deltas/org.uberfire/uberfire-widgets-core-client/0.3.0.CR1_to_0.3.0.CR4-Pre1.delta|,1,96
|file:///home/lina/data/deltas/org.apache.cxf/cxf-rt-ws-security/2.1.10_to_2.2.9.delta|,1,97
|file:///home/lina/data/deltas/org.neo4j/neo4j-graph-algo/2.3.6_to_3.1.0-M05.delta|,1,99
|file:///home/lina/data/deltas/org.neo4j/neo4j-graph-algo/2.3.7_to_3.1.0-M08.delta|,1,99
|file:///home/lina/data/deltas/org.springframework/spring-jdbc/3.2.18.RELEASE_to_4.3.6.RELEASE.delta|,1,103
|file:///home/lina/data/deltas/org.apache.derby/derby/10.6.2.1_to_10.7.1.1.delta|,1,104
|file:///home/lina/data/deltas/org.neo4j/neo4j-graph-algo/2.2.10_to_3.1.0-M04.delta|,1,112
|file:///home/lina/data/deltas/org.neo4j/neo4j-graph-algo/2.2.9_to_3.0.0-RC1.delta|,1,112
|file:///home/lina/data/deltas/org.gebish/geb-core/0.9.2_to_0.9.3.delta|,1,115
|file:///home/lina/data/deltas/net.hydromatic/quidem/0.8_to_0.9.delta|,1,127
|file:///home/lina/data/deltas/org.apache.cxf/cxf-rt-ws-security/2.7.5_to_2.7.6.delta|,1,128
|file:///home/lina/data/deltas/org.apache.camel/camel-cxf/2.7.2_to_2.8.0.delta|,1,134
|file:///home/lina/data/deltas/org.apache.sshd/sshd-core/0.11.0_to_0.12.0.delta|,1,135
|file:///home/lina/data/deltas/org.apache.cxf/cxf-rt-frontend-jaxws/2.1.10_to_2.2.9.delta|,1,140
