field0,field1,field2
|file:///home/lina/data/deltas/org.springframework/spring-jdbc/5.0.3.RELEASE_to_5.0.4.RELEASE.delta|,1,1
|file:///home/lina/data/deltas/net.serenity-bdd/serenity-core/1.3.0_to_1.3.1-rc.1.delta|,1,1
|file:///home/lina/data/deltas/org.springframework/spring-expression/3.2.5.RELEASE_to_4.0.0.RELEASE.delta|,1,3
|file:///home/lina/data/deltas/org.eclipse.jetty/jetty-io/9.4.0.v20161208_to_9.4.1.v20170120.delta|,1,4
|file:///home/lina/data/deltas/org.eclipse.jetty/jetty-io/9.4.0.v20180619_to_9.4.1.v20180619.delta|,1,4
|file:///home/lina/data/deltas/org.eclipse.jetty/jetty-io/9.3.15.v20161220_to_9.3.16.v20170120.delta|,1,4
|file:///home/lina/data/deltas/org.springframework/spring-core/3.2.0.RELEASE_to_3.2.1.RELEASE.delta|,1,5
|file:///home/lina/data/deltas/org.apache.hadoop/hadoop-mapreduce-client-core/2.3.0_to_2.4.0.delta|,1,8
|file:///home/lina/data/deltas/org.springframework/spring-expression/4.1.1.RELEASE_to_4.1.2.RELEASE.delta|,1,8
|file:///home/lina/data/deltas/org.glassfish.jersey.core/jersey-common/2.10.1_to_2.11.delta|,1,9
|file:///home/lina/data/deltas/org.glassfish.jersey.core/jersey-common/2.10.4_to_2.12.delta|,1,9
|file:///home/lina/data/deltas/org.apache.hadoop/hadoop-mapreduce-client-core/2.5.1_to_2.6.0.delta|,1,11
|file:///home/lina/data/deltas/org.springframework/spring-expression/4.0.8.RELEASE_to_4.1.2.RELEASE.delta|,1,11
|file:///home/lina/data/deltas/org.springframework/spring-expression/4.0.9.RELEASE_to_4.1.5.RELEASE.delta|,1,11
|file:///home/lina/data/deltas/org.apache.santuario/xmlsec/1.5.3_to_1.5.4.delta|,1,13
|file:///home/lina/data/deltas/org.springframework/spring-core/3.1.0.RELEASE_to_3.1.1.RELEASE.delta|,1,15
|file:///home/lina/data/deltas/org.apache.hadoop/hadoop-mapreduce-client-core/2.5.2_to_2.7.0.delta|,1,18
|file:///home/lina/data/deltas/org.springframework/spring-expression/3.2.9.RELEASE_to_4.0.5.RELEASE.delta|,1,23
|file:///home/lina/data/deltas/org.springframework/spring-expression/3.2.7.RELEASE_to_4.0.2.RELEASE.delta|,1,23
|file:///home/lina/data/deltas/org.springframework/spring-expression/3.2.8.RELEASE_to_4.0.3.RELEASE.delta|,1,23
|file:///home/lina/data/deltas/org.springframework/spring-expression/3.2.11.RELEASE_to_4.1.1.RELEASE.delta|,1,28
|file:///home/lina/data/deltas/org.springframework/spring-expression/3.2.10.RELEASE_to_4.1.0.RELEASE.delta|,1,28
|file:///home/lina/data/deltas/net.serenity-bdd/serenity-core/1.2.1-rc.6_to_1.2.1-rc.7.delta|,1,56
|file:///home/lina/data/deltas/org.springframework/spring-core/3.0.7.RELEASE_to_3.1.1.RELEASE.delta|,1,60
|file:///home/lina/data/deltas/net.officefloor.core/officebuilding/2.11.0_to_2.16.0.delta|,1,79
|file:///home/lina/data/deltas/org.apache.solr/solr-core/3.3.0_to_3.4.0.delta|,1,91
|file:///home/lina/data/deltas/org.springframework/spring-expression/5.0.9.RELEASE_to_5.1.0.RELEASE.delta|,1,109
|file:///home/lina/data/deltas/com.netflix.eureka/eureka-client/1.1.155_to_1.3.4.delta|,1,123
|file:///home/lina/data/deltas/org.apache.solr/solr-core/3.1.0_to_3.2.0.delta|,1,124
|file:///home/lina/data/deltas/org.apache.ant/ant/1.7.1_to_1.8.0.delta|,1,129
|file:///home/lina/data/deltas/org.apache.sshd/sshd-core/0.11.0_to_0.12.0.delta|,1,135
|file:///home/lina/data/deltas/org.glassfish.jersey.core/jersey-common/2.0-m01_to_2.0-m02.delta|,1,143
|file:///home/lina/data/deltas/org.apache.santuario/xmlsec/1.4.0_to_1.4.2.delta|,1,159
|file:///home/lina/data/deltas/io.vertx/vertx-core/3.0.0_to_3.1.0.delta|,1,162
|file:///home/lina/data/deltas/org.springframework/spring-expression/4.3.19.RELEASE_to_5.1.0.RELEASE.delta|,1,194
|file:///home/lina/data/deltas/org.hibernate/hibernate-search-orm/5.6.4.Final_to_5.9.0.Final.delta|,1,202
|file:///home/lina/data/deltas/org.hibernate/hibernate-search-orm/5.7.0.Final_to_5.8.1.Final.delta|,1,202
|file:///home/lina/data/deltas/org.ehcache/ehcache/3.5.2_to_3.6.1.delta|,1,244
|file:///home/lina/data/deltas/io.vertx/vertx-core/3.4.2_to_3.5.0.Beta1.delta|,1,266
|file:///home/lina/data/deltas/org.hibernate/hibernate-search-orm/5.5.8.Final_to_5.8.1.Final.delta|,1,275
|file:///home/lina/data/deltas/org.apache.camel/camel-core/2.10.5_to_2.11.1.delta|,1,283
|file:///home/lina/data/deltas/org.apache.camel/camel-core/2.10.4_to_2.11.0.delta|,1,285
|file:///home/lina/data/deltas/org.eclipse.persistence/eclipselink/2.6.0-M3_to_2.6.0-RC1.delta|,1,330
|file:///home/lina/data/deltas/com.google.guava/guava/23.1-android_to_23.1-jre.delta|,1,464
|file:///home/lina/data/deltas/com.google.guava/guava/23.2-android_to_23.2-jre.delta|,1,464
|file:///home/lina/data/deltas/com.google.guava/guava/23.3-android_to_23.3-jre.delta|,1,464
|file:///home/lina/data/deltas/com.google.guava/guava/23.4-android_to_23.4-jre.delta|,1,471
|file:///home/lina/data/deltas/com.google.guava/guava/23.5-android_to_23.5-jre.delta|,1,472
|file:///home/lina/data/deltas/com.google.guava/guava/24.0-android_to_24.0-jre.delta|,1,495
|file:///home/lina/data/deltas/com.google.guava/guava/25.0-android_to_25.0-jre.delta|,1,515
|file:///home/lina/data/deltas/com.google.guava/guava/24.1-android_to_24.1-jre.delta|,1,516
|file:///home/lina/data/deltas/com.google.guava/guava/25.1-android_to_25.1-jre.delta|,1,518
|file:///home/lina/data/deltas/com.google.guava/guava/26.0-android_to_26.0-jre.delta|,1,519
|file:///home/lina/data/deltas/org.apache.hadoop/hadoop-mapreduce-client-core/0.23.11_to_2.4.1.delta|,1,527
|file:///home/lina/data/deltas/org.apache.ant/ant/1.8.4_to_1.9.0.delta|,1,531
|file:///home/lina/data/deltas/com.google.guava/guava/11.0.2_to_12.0-rc1.delta|,1,549
|file:///home/lina/data/deltas/com.google.guava/guava/23.6-android_to_23.6-jre.delta|,1,551
|file:///home/lina/data/deltas/com.google.guava/guava/22.0-rc1-android_to_22.0.delta|,1,553
|file:///home/lina/data/deltas/org.apache.sshd/sshd-core/0.8.0_to_0.9.0.delta|,1,589
|file:///home/lina/data/deltas/org.apache.camel/camel-core/2.2.0_to_2.3.0.delta|,1,706
|file:///home/lina/data/deltas/io.vertx/vertx-core/3.0.0-dev_preview1_to_3.1.0.delta|,1,749
|file:///home/lina/data/deltas/org.apache.solr/solr-core/6.6.0_to_7.1.0.delta|,1,1881
|file:///home/lina/data/deltas/org.scala-lang/scala-compiler/2.7.1_to_2.7.3.delta|,1,2233
|file:///home/lina/data/deltas/org.ehcache/ehcache/3.2.3_to_3.5.0.delta|,1,2348
|file:///home/lina/data/deltas/org.ehcache/ehcache/3.4.0_to_3.5.0.delta|,1,2428
|file:///home/lina/data/deltas/org.apache.solr/solr-core/3.6.0_to_4.0.0-ALPHA.delta|,1,3210
|file:///home/lina/data/deltas/org.apache.solr/solr-core/3.6.1_to_4.0.0-BETA.delta|,1,3564
|file:///home/lina/data/deltas/us.fatehi/schemacrawler/14.16.04-java7_to_14.20.03.delta|,1,5170
|file:///home/lina/data/deltas/javax/javaee-web-api/6.0_to_7.0.delta|,1,5840
|file:///home/lina/data/deltas/org.springframework/spring-expression/5.0.3.RELEASE_to_5.0.4.RELEASE.delta|,2,2
|file:///home/lina/data/deltas/org.eclipse.jetty/jetty-http/8.0.0.v20110901_to_8.0.1.v20110908.delta|,2,2
|file:///home/lina/data/deltas/org.apache.ant/ant/1.9.7_to_1.9.8.delta|,2,6
|file:///home/lina/data/deltas/org.springframework/spring-core/5.0.3.RELEASE_to_5.0.4.RELEASE.delta|,2,7
|file:///home/lina/data/deltas/com.netflix.eureka/eureka-client/1.4.11_to_1.5.6.delta|,2,9
|file:///home/lina/data/deltas/org.springframework/spring-expression/3.2.17.RELEASE_to_4.3.0.RELEASE.delta|,2,32
|file:///home/lina/data/deltas/org.springframework/spring-expression/3.2.16.RELEASE_to_4.2.5.RELEASE.delta|,2,32
|file:///home/lina/data/deltas/org.springframework/spring-expression/3.2.14.RELEASE_to_4.2.0.RELEASE.delta|,2,33
|file:///home/lina/data/deltas/org.springframework/spring-expression/3.2.12.RELEASE_to_4.1.3.RELEASE.delta|,2,33
|file:///home/lina/data/deltas/org.springframework/spring-expression/3.2.13.RELEASE_to_4.1.5.RELEASE.delta|,2,33
|file:///home/lina/data/deltas/org.springframework/spring-expression/3.2.15.RELEASE_to_4.1.8.RELEASE.delta|,2,33
|file:///home/lina/data/deltas/org.springframework/spring-expression/3.2.18.RELEASE_to_4.3.6.RELEASE.delta|,2,34
|file:///home/lina/data/deltas/org.apache.hadoop/hadoop-mapreduce-client-core/2.7.3_to_2.8.0.delta|,2,34
|file:///home/lina/data/deltas/com.netflix.eureka/eureka-client/1.7.0_to_1.8.1.delta|,2,35
|file:///home/lina/data/deltas/com.netflix.eureka/eureka-client/1.4.12_to_1.6.2.delta|,2,36
|file:///home/lina/data/deltas/com.netflix.eureka/eureka-client/1.7.2_to_1.9.2.delta|,2,39
|file:///home/lina/data/deltas/org.apache.hadoop/hadoop-mapreduce-client-core/2.6.5_to_2.8.0.delta|,2,44
|file:///home/lina/data/deltas/org.apache.hadoop/hadoop-mapreduce-client-core/2.8.1_to_3.1.0.delta|,2,208
|file:///home/lina/data/deltas/org.apache.cxf/cxf-rt-ws-security/3.0.5_to_3.1.0.delta|,2,215
|file:///home/lina/data/deltas/org.apache.camel/camel-core/2.9.3_to_2.10.1.delta|,2,222
|file:///home/lina/data/deltas/org.apache.camel/camel-core/2.9.5_to_2.10.3.delta|,2,228
|file:///home/lina/data/deltas/org.apache.camel/camel-core/2.9.7_to_2.10.5.delta|,2,241
|file:///home/lina/data/deltas/org.apache.cxf/cxf-rt-ws-security/3.0.7_to_3.1.4.delta|,2,258
|file:///home/lina/data/deltas/org.apache.cxf/cxf-rt-ws-security/3.0.15_to_3.1.13.delta|,2,281
|file:///home/lina/data/deltas/org.apache.cxf/cxf-rt-ws-security/3.0.11_to_3.1.8.delta|,2,289
|file:///home/lina/data/deltas/org.apache.cxf/cxf-rt-ws-security/3.0.12_to_3.1.9.delta|,2,289
|file:///home/lina/data/deltas/org.apache.cxf/cxf-rt-ws-security/3.0.13_to_3.1.11.delta|,2,290
|file:///home/lina/data/deltas/org.springframework/spring-core/5.0.9.RELEASE_to_5.1.0.RELEASE.delta|,2,313
|file:///home/lina/data/deltas/org.apache.cxf/cxf-rt-ws-security/3.0.6_to_3.1.2.delta|,2,360
|file:///home/lina/data/deltas/org.apache.derby/derby/10.5.3.0_1_to_10.6.1.0.delta|,2,406
|file:///home/lina/data/deltas/org.apache.camel/camel-core/2.11.2_to_2.12.2.delta|,2,492
|file:///home/lina/data/deltas/org.apache.camel/camel-core/2.11.1_to_2.12.1.delta|,2,500
