field0,field1,field2
|file:///home/lina/data/deltas/org.springframework/spring-core/2.0.6_to_2.0.7.delta|,1,1
|file:///home/lina/data/deltas/org.apache.solr/solr-core/4.6.1_to_4.7.2.delta|,1,211
|file:///home/lina/data/deltas/org.apache.derby/derby/10.4.2.0_to_10.5.3.0_1.delta|,1,430
|file:///home/lina/data/deltas/org.apache.sshd/sshd-core/0.8.0_to_0.9.0.delta|,1,589
|file:///home/lina/data/deltas/org.eclipse.persistence/org.eclipse.persistence.core/2.6.4_to_2.7.0.delta|,1,1350
|file:///home/lina/data/deltas/org.eclipse.persistence/org.eclipse.persistence.core/2.6.5_to_2.7.1.delta|,1,1395
|file:///home/lina/data/deltas/org.eclipse.persistence/eclipselink/2.6.4_to_2.7.0.delta|,1,1675
|file:///home/lina/data/deltas/org.eclipse.persistence/eclipselink/2.6.5_to_2.7.1.delta|,1,1969
|file:///home/lina/data/deltas/org.scala-lang/scala-library/2.7.7_to_2.8.0.Beta1-RC8.delta|,1,11146
|file:///home/lina/data/deltas/org.hyperledger.fabric-sdk-java/fabric-sdk-java/1.0.1_to_1.1.0.delta|,2,317
|file:///home/lina/data/deltas/org.pac4j/pac4j-oauth/1.8.9_to_1.9.2.delta|,2,773
|file:///home/lina/data/deltas/org.apache.solr/solr-core/6.6.0_to_7.1.0.delta|,2,1881
|file:///home/lina/data/deltas/org.apache.solr/solr-core/5.5.1_to_6.6.0.delta|,3,2618
|file:///home/lina/data/deltas/org.ops4j.pax.web/pax-web-jetty-bundle/0.8.1_to_3.1.2.delta|,3,3519
|file:///home/lina/data/deltas/org.apache.hive/hive-exec/0.11.0_to_0.12.0.delta|,4,3740
|file:///home/lina/data/deltas/org.apache.solr/solr-core/5.5.5_to_7.2.1.delta|,5,3721
|file:///home/lina/data/deltas/org.apache.solr/solr-core/4.10.4_to_5.5.1.delta|,7,2177
