field0,field1,field2
|file:///home/lina/data/deltas/net.sourceforge.htmlunit/htmlunit-core-js/2.26_to_2.27.delta|,1,1
|file:///home/lina/data/deltas/org.eclipse.jetty/jetty-http/9.2.1.v20140609_to_9.2.2.v20140723.delta|,1,1
|file:///home/lina/data/deltas/org.http4s/http4s-core_2.11/0.18.1_to_0.18.5.delta|,1,1
|file:///home/lina/data/deltas/net.serenity-bdd/serenity-core/1.2.1-rc.7_to_1.2.1-rc.8.delta|,1,1
|file:///home/lina/data/deltas/org.scala-lang/scala-compiler/2.9.0_to_2.9.0-1.delta|,1,1
|file:///home/lina/data/deltas/com.android.tools/sdklib/22.0.1_to_22.1.0.delta|,1,1
|file:///home/lina/data/deltas/org.eclipse.jetty/jetty-http/9.2.7.v20150116_to_9.2.8.v20150217.delta|,1,1
|file:///home/lina/data/deltas/org.apache.cxf/cxf-rt-ws-addr/2.2.9_to_2.2.10.delta|,1,1
|file:///home/lina/data/deltas/org.eclipse.jetty/jetty-http/9.1.0.v20131115_to_9.1.1.v20140108.delta|,1,1
|file:///home/lina/data/deltas/org.scala-lang/scala-compiler/2.9.0.RC5_to_2.9.0-1.delta|,1,1
|file:///home/lina/data/deltas/org.pustefixframework.webservices/pustefix-webservices-core/0.18.41_to_0.18.42.delta|,1,1
|file:///home/lina/data/deltas/org.springframework/spring-core/1.2.6_to_2.0-m2.delta|,1,2
|file:///home/lina/data/deltas/org.springframework/spring-core/1.2.7_to_2.0-m4.delta|,1,2
|file:///home/lina/data/deltas/org.seleniumhq.selenium/selenium-firefox-driver/2.50.1_to_2.52.0.delta|,1,2
|file:///home/lina/data/deltas/org.apache.cxf/cxf-rt-ws-security/2.7.4_to_2.7.5.delta|,1,2
|file:///home/lina/data/deltas/org.eclipse.jetty/jetty-io/8.0.0.RC0_to_8.0.0.v20110901.delta|,1,2
|file:///home/lina/data/deltas/org.eclipse.jetty/jetty-io/7.5.0.RC1_to_7.5.0.RC2.delta|,1,2
|file:///home/lina/data/deltas/com.typesafe.akka/akka-actor_2.11/2.4.10_to_2.4.11.delta|,1,2
|file:///home/lina/data/deltas/org.pac4j/pac4j-oauth/1.9.4_to_1.9.5.delta|,1,2
|file:///home/lina/data/deltas/org.apache.karaf.shell/org.apache.karaf.shell.console/2.2.4_to_2.2.5.delta|,1,3
|file:///home/lina/data/deltas/org.springframework/spring-expression/3.0.2.RELEASE_to_3.0.3.RELEASE.delta|,1,3
|file:///home/lina/data/deltas/org.apache.santuario/xmlsec/1.4.4_to_1.4.5.delta|,1,3
|file:///home/lina/data/deltas/org.eclipse.jetty/jetty-io/8.1.0.RC4_to_8.1.0.RC5.delta|,1,3
|file:///home/lina/data/deltas/net.officefloor.core/officebuilding/2.2.0_to_2.3.0.delta|,1,3
|file:///home/lina/data/deltas/net.serenity-bdd/serenity-core/1.2.1-rc.5_to_1.2.1-rc.6.delta|,1,4
|file:///home/lina/data/deltas/org.pustefixframework.webservices/pustefix-webservices-core/0.16.10_to_0.18.2.delta|,1,4
|file:///home/lina/data/deltas/org.eclipse.jetty/jetty-http/9.0.0.v20130308_to_9.0.1.v20130408.delta|,1,4
|file:///home/lina/data/deltas/net.serenity-bdd/serenity-core/1.2.2-rc.10_to_1.2.2.delta|,1,4
|file:///home/lina/data/deltas/org.pustefixframework.webservices/pustefix-webservices-core/0.18.0_to_0.18.1.delta|,1,4
|file:///home/lina/data/deltas/org.pustefixframework.webservices/pustefix-webservices-core/0.17.4_to_0.18.1.delta|,1,4
|file:///home/lina/data/deltas/net.serenity-bdd/serenity-core/1.1.22-rc.11_to_1.1.22-rc.13.delta|,1,5
|file:///home/lina/data/deltas/org.springframework/spring-core/3.2.0.RELEASE_to_3.2.1.RELEASE.delta|,1,5
|file:///home/lina/data/deltas/org.eclipse.jetty/jetty-io/9.2.3.v20140905_to_9.3.0.M0.delta|,1,5
|file:///home/lina/data/deltas/org.eclipse.jetty/jetty-http/9.0.4.v20130625_to_9.0.5.v20130815.delta|,1,5
|file:///home/lina/data/deltas/org.kie.workbench.services/kie-wb-common-datamodel-api/6.0.0.CR5_to_6.0.0.Final.delta|,1,5
|file:///home/lina/data/deltas/org.apache.cxf/cxf-rt-ws-addr/2.6.1_to_2.6.2.delta|,1,6
|file:///home/lina/data/deltas/org.neo4j/neo4j-graph-algo/3.1.0-M04_to_3.1.0-M05.delta|,1,6
|file:///home/lina/data/deltas/org.apache.cxf/cxf-rt-ws-security/2.4.0_to_2.4.1.delta|,1,6
|file:///home/lina/data/deltas/org.apache.cxf/cxf-rt-ws-security/2.6.2_to_2.6.3.delta|,1,6
|file:///home/lina/data/deltas/org.springframework/spring-expression/5.0.0.RELEASE_to_5.0.1.RELEASE.delta|,1,7
|file:///home/lina/data/deltas/org.apache.camel/camel-cxf/2.5.0_to_2.6.0.delta|,1,7
|file:///home/lina/data/deltas/org.apache.karaf.shell/org.apache.karaf.shell.console/2.2.2_to_2.2.3.delta|,1,8
|file:///home/lina/data/deltas/org.apache.cxf/cxf-rt-ws-security/2.3.2_to_2.3.3.delta|,1,8
|file:///home/lina/data/deltas/org.springframework/spring-expression/3.2.1.RELEASE_to_3.2.2.RELEASE.delta|,1,8
|file:///home/lina/data/deltas/org.apache.cxf/cxf-rt-ws-addr/2.4.9_to_2.5.5.delta|,1,8
|file:///home/lina/data/deltas/org.apache.santuario/xmlsec/1.5.5_to_1.5.6.delta|,1,8
|file:///home/lina/data/deltas/org.apache.cxf/cxf-rt-ws-addr/2.4.10_to_2.5.6.delta|,1,8
|file:///home/lina/data/deltas/org.eclipse.persistence/eclipselink/2.6.3_to_2.6.4.delta|,1,8
|file:///home/lina/data/deltas/org.springframework/spring-core/4.2.0.RELEASE_to_4.2.1.RELEASE.delta|,1,9
|file:///home/lina/data/deltas/com.netflix.eureka/eureka-client/1.4.11_to_1.5.6.delta|,1,9
|file:///home/lina/data/deltas/net.serenity-bdd/serenity-core/1.5.8_to_1.5.9.delta|,1,10
|file:///home/lina/data/deltas/org.scala-lang/scala-library/2.11.0-RC3_to_2.11.0-RC4.delta|,1,10
|file:///home/lina/data/deltas/org.sonarsource.sonarqube/sonar-ws/5.5_to_5.6.delta|,1,10
|file:///home/lina/data/deltas/org.apache.hyracks/algebricks-core/0.3.0_to_0.3.1.delta|,1,11
|file:///home/lina/data/deltas/net.serenity-bdd/serenity-core/1.2.2-rc.5_to_1.2.2-rc.6.delta|,1,12
|file:///home/lina/data/deltas/org.eclipse.scout.rt/org.eclipse.scout.rt.server.test/6.0.100.B100_to_6.1.0.M3.delta|,1,12
|file:///home/lina/data/deltas/org.eclipse.scout.rt/org.eclipse.scout.rt.server.test/6.0.100.RC4_to_6.1.0.M2.delta|,1,12
|file:///home/lina/data/deltas/org.springframework/spring-core/2.0-m5_to_2.0.delta|,1,13
|file:///home/lina/data/deltas/org.apache.camel/camel-mail/2.16.3_to_2.17.1.delta|,1,13
|file:///home/lina/data/deltas/net.automatalib/automata-core/0.5.2_to_0.6.0.delta|,1,14
|file:///home/lina/data/deltas/org.eclipse.jetty/jetty-io/9.3.0.M0_to_9.3.0.M1.delta|,1,14
|file:///home/lina/data/deltas/org.apache.hadoop/hadoop-mapreduce-client-core/2.0.3-alpha_to_2.0.5-alpha.delta|,1,15
|file:///home/lina/data/deltas/org.uberfire/uberfire-backend-api/0.1.4.Final_to_0.2.0.Beta4.delta|,1,15
|file:///home/lina/data/deltas/com.google.guava/guava/10.0_to_10.0.1.delta|,1,15
|file:///home/lina/data/deltas/org.kie.server/kie-server-api/7.6.0.Final_to_7.7.0.Final.delta|,1,15
|file:///home/lina/data/deltas/org.neo4j/neo4j-udc/2.3.0-M02_to_3.3.5.delta|,1,16
|file:///home/lina/data/deltas/net.serenity-bdd/serenity-core/1.2.2_to_1.2.3-rc.7.delta|,1,18
|file:///home/lina/data/deltas/org.seleniumhq.selenium/selenium-firefox-driver/2.47.1_to_2.48.2.delta|,1,18
|file:///home/lina/data/deltas/org.apache.camel/camel-cxf/2.15.3_to_2.16.0.delta|,1,19
|file:///home/lina/data/deltas/net.serenity-bdd/serenity-core/1.2.2-rc.4_to_1.2.2-rc.5.delta|,1,20
|file:///home/lina/data/deltas/com.vaadin/vaadin-compatibility-server/8.1.1_to_8.4.0.delta|,1,20
|file:///home/lina/data/deltas/org.eclipse.persistence/eclipselink/2.6.1_to_2.6.2.delta|,1,20
|file:///home/lina/data/deltas/org.scala-lang/scala-library/2.8.0_to_2.8.1.RC1.delta|,1,20
|file:///home/lina/data/deltas/io.ultreia.java4all.i18n/i18n-api/4.0-alpha-9_to_4.0-alpha-10.delta|,1,20
|file:///home/lina/data/deltas/org.eclipse.scout.rt/org.eclipse.scout.rt.server.test/6.0.200.RC3_to_6.1.0.B002.delta|,1,21
|file:///home/lina/data/deltas/org.eclipse.scout.rt/org.eclipse.scout.rt.server.test/6.0.300.RC2_to_6.1.0.B006.delta|,1,21
|file:///home/lina/data/deltas/org.eclipse.scout.rt/org.eclipse.scout.rt.server.test/6.0.200.0_to_6.1.0.M4.delta|,1,21
|file:///home/lina/data/deltas/org.springframework/spring-core/4.2.5.RELEASE_to_4.2.6.RELEASE.delta|,1,21
|file:///home/lina/data/deltas/org.eclipse.scout.rt/org.eclipse.scout.rt.server.test/6.0.300.RC0_to_6.1.0.M5.delta|,1,21
|file:///home/lina/data/deltas/org.eclipse.scout.rt/org.eclipse.scout.rt.server.test/6.0.300.1_to_6.1.0.B009.delta|,1,21
|file:///home/lina/data/deltas/org.eclipse.scout.rt/org.eclipse.scout.rt.server.test/6.0.300.0_to_6.1.0.M6.delta|,1,21
