field0,field1,field2
|file:///home/lina/data/deltas/org.glassfish.main.common/amx-javaee/4.0-b33_to_4.0-b72.delta|,1,1
|file:///home/lina/data/deltas/io.ultreia.java4all.i18n/i18n-api/4.0-alpha-11_to_4.0-alpha-12.delta|,1,1
|file:///home/lina/data/deltas/org.eclipse.jetty/jetty-io/9.1.0.RC1_to_9.1.0.RC2.delta|,1,1
|file:///home/lina/data/deltas/org.hibernate/hibernate-search-orm/5.6.1.Final_to_5.7.0.Final.delta|,1,2
|file:///home/lina/data/deltas/org.pustefixframework.webservices/pustefix-webservices-core/0.16.10_to_0.18.2.delta|,1,4
|file:///home/lina/data/deltas/org.pustefixframework.webservices/pustefix-webservices-core/0.18.0_to_0.18.1.delta|,1,4
|file:///home/lina/data/deltas/org.pustefixframework.webservices/pustefix-webservices-core/0.17.4_to_0.18.1.delta|,1,4
|file:///home/lina/data/deltas/org.eclipse.jetty/jetty-http/9.3.7.v20160115_to_9.3.8.RC0.delta|,1,6
|file:///home/lina/data/deltas/org.springframework/spring-jdbc/3.2.7.RELEASE_to_4.0.2.RELEASE.delta|,1,9
|file:///home/lina/data/deltas/org.eclipse.persistence/eclipselink/2.6.0-RC1_to_2.6.0.delta|,1,9
|file:///home/lina/data/deltas/org.apache.santuario/xmlsec/2.1.1_to_2.1.2.delta|,1,10
|file:///home/lina/data/deltas/org.springframework/spring-jdbc/3.2.8.RELEASE_to_4.0.3.RELEASE.delta|,1,11
|file:///home/lina/data/deltas/org.springframework/spring-jdbc/3.2.9.RELEASE_to_4.0.5.RELEASE.delta|,1,11
|file:///home/lina/data/deltas/org.drools/drools-compiler/6.0.0.Beta5_to_6.0.0.CR1.delta|,1,13
|file:///home/lina/data/deltas/org.atmosphere/atmosphere-vertx/2.0.1_to_2.1.0.delta|,1,14
|file:///home/lina/data/deltas/org.springframework/spring-jdbc/3.2.10.RELEASE_to_4.1.0.RELEASE.delta|,1,14
|file:///home/lina/data/deltas/org.springframework/spring-jdbc/3.2.11.RELEASE_to_4.1.1.RELEASE.delta|,1,14
|file:///home/lina/data/deltas/org.apache.camel/camel-http/2.6.0_to_2.8.3.delta|,1,16
|file:///home/lina/data/deltas/org.springframework/spring-expression/4.0.0.RELEASE_to_4.0.2.RELEASE.delta|,1,20
|file:///home/lina/data/deltas/org.apache.sshd/sshd-core/0.4.0_to_0.5.0.delta|,1,22
|file:///home/lina/data/deltas/org.eclipse.persistence/org.eclipse.persistence.core/2.6.3-M1_to_2.6.3.delta|,1,22
|file:///home/lina/data/deltas/org.springframework/spring-expression/3.2.9.RELEASE_to_4.0.5.RELEASE.delta|,1,23
|file:///home/lina/data/deltas/org.springframework/spring-expression/3.2.7.RELEASE_to_4.0.2.RELEASE.delta|,1,23
|file:///home/lina/data/deltas/org.springframework/spring-expression/3.2.8.RELEASE_to_4.0.3.RELEASE.delta|,1,23
|file:///home/lina/data/deltas/org.apache.karaf.shell/org.apache.karaf.shell.console/3.0.1_to_3.0.2.delta|,1,25
|file:///home/lina/data/deltas/org.springframework/spring-jdbc/3.2.12.RELEASE_to_4.1.3.RELEASE.delta|,1,25
|file:///home/lina/data/deltas/org.springframework/spring-jdbc/3.2.13.RELEASE_to_4.1.5.RELEASE.delta|,1,25
|file:///home/lina/data/deltas/org.springframework/spring-jdbc/3.2.15.RELEASE_to_4.1.8.RELEASE.delta|,1,25
|file:///home/lina/data/deltas/org.scala-lang/scala-library/2.11.0-M4_to_2.11.0-M5.delta|,1,27
|file:///home/lina/data/deltas/org.springframework/spring-expression/3.2.11.RELEASE_to_4.1.1.RELEASE.delta|,1,28
|file:///home/lina/data/deltas/org.springframework/spring-expression/3.2.10.RELEASE_to_4.1.0.RELEASE.delta|,1,28
|file:///home/lina/data/deltas/org.hibernate/hibernate-search-orm/5.5.5.Final_to_5.7.0.Beta2.delta|,1,30
|file:///home/lina/data/deltas/org.apache.sshd/sshd-core/0.3.0_to_0.4.0.delta|,1,30
|file:///home/lina/data/deltas/org.apache.sshd/sshd-core/0.5.0_to_0.6.0.delta|,1,32
|file:///home/lina/data/deltas/org.springframework/spring-expression/3.2.17.RELEASE_to_4.3.0.RELEASE.delta|,1,32
|file:///home/lina/data/deltas/org.springframework/spring-expression/3.2.16.RELEASE_to_4.2.5.RELEASE.delta|,1,32
|file:///home/lina/data/deltas/org.springframework/spring-expression/3.2.14.RELEASE_to_4.2.0.RELEASE.delta|,1,33
|file:///home/lina/data/deltas/org.springframework/spring-expression/3.2.12.RELEASE_to_4.1.3.RELEASE.delta|,1,33
|file:///home/lina/data/deltas/org.springframework/spring-expression/3.2.13.RELEASE_to_4.1.5.RELEASE.delta|,1,33
|file:///home/lina/data/deltas/org.springframework/spring-expression/3.2.15.RELEASE_to_4.1.8.RELEASE.delta|,1,33
|file:///home/lina/data/deltas/org.springframework/spring-expression/3.2.18.RELEASE_to_4.3.6.RELEASE.delta|,1,34
|file:///home/lina/data/deltas/org.apache.hadoop/hadoop-mapreduce-client-core/2.7.3_to_2.8.0.delta|,1,34
