field0,field1,field2
|file:///home/lina/data/deltas/org.scala-lang/scala-library/2.11.1_to_2.11.2.delta|,1,1
|file:///home/lina/data/deltas/org.springframework/spring-core/2.0_to_2.0.1.delta|,1,1
|file:///home/lina/data/deltas/org.apache.cxf/cxf-rt-ws-addr/3.0.0-milestone2_to_3.0.1.delta|,1,1
|file:///home/lina/data/deltas/org.kie.workbench.services/kie-wb-common-datamodel-api/6.1.0.Beta2_to_7.0.0.Beta3.delta|,1,1
|file:///home/lina/data/deltas/com.thoughtworks.dsl/dsl_2.12/1.0.0-RC9_to_1.0.0-RC10.delta|,1,1
|file:///home/lina/data/deltas/org.eclipse.jetty/jetty-io/9.2.9.v20150224_to_9.2.10.v20150310.delta|,1,1
|file:///home/lina/data/deltas/org.apache.camel/camel-mail/2.19.5_to_2.21.1.delta|,1,1
|file:///home/lina/data/deltas/org.openehealth.ipf.platform-camel/ipf-platform-camel-hl7/3.0.6_to_3.1-20151130.delta|,1,1
|file:///home/lina/data/deltas/io.fabric8/openshift-client/1.4.24_to_1.4.25.delta|,1,1
|file:///home/lina/data/deltas/org.eclipse.jetty/jetty-jmx/7.6.0.RC3_to_7.6.0.RC4.delta|,1,1
|file:///home/lina/data/deltas/org.eclipse.jetty/jetty-jmx/8.1.0.RC2_to_8.1.0.RC4.delta|,1,1
|file:///home/lina/data/deltas/net.officefloor.core/officebuilding/2.8.0_to_2.11.0.delta|,1,1
|file:///home/lina/data/deltas/org.hibernate/hibernate-search-orm/5.5.1.Final_to_5.5.2.Final.delta|,1,1
|file:///home/lina/data/deltas/org.apache.cxf/cxf-tools-wsdlto-databinding-jaxb/2.1.6_to_2.2.3.delta|,1,1
|file:///home/lina/data/deltas/org.apache.cxf/cxf-tools-wsdlto-databinding-jaxb/2.7.15_to_3.0.4.delta|,1,1
|file:///home/lina/data/deltas/org.apache.camel/camel-cxf/2.10.5_to_2.11.2.delta|,1,1
|file:///home/lina/data/deltas/org.openrdf.sesame/sesame-model/2.7.9_to_2.7.10.delta|,1,1
|file:///home/lina/data/deltas/org.springframework/spring-context-support/4.1.7.RELEASE_to_4.2.0.RELEASE.delta|,1,1
|file:///home/lina/data/deltas/co.fs2/fs2-core_2.12/0.10.1_to_0.10.2.delta|,1,1
|file:///home/lina/data/deltas/org.openehealth.ipf.platform-camel/ipf-platform-camel-hl7/3.1-20151130_to_3.1-20160122.delta|,1,1
|file:///home/lina/data/deltas/org.eclipse.jetty/jetty-http/9.3.1.v20150714_to_9.3.2.v20150730.delta|,1,1
|file:///home/lina/data/deltas/it.unimi.dsi/fastutil/7.0.2_to_7.0.3.delta|,1,1
|file:///home/lina/data/deltas/org.apache.cxf/cxf-tools-wsdlto-databinding-jaxb/2.7.3_to_2.7.5.delta|,1,1
|file:///home/lina/data/deltas/org.apache.cxf/cxf-tools-wsdlto-databinding-jaxb/3.0.2_to_3.0.4.delta|,1,1
