field0,field1,field2
|file:///home/lina/data/deltas/io.dropwizard.metrics/metrics-core/3.1.1_to_3.1.2.delta|,1,1
|file:///home/lina/data/deltas/net.serenity-bdd/serenity-core/1.1.22-rc.4_to_1.1.22-rc.9.delta|,1,1
|file:///home/lina/data/deltas/org.springframework/spring-core/3.2.3.RELEASE_to_3.2.4.RELEASE.delta|,1,2
|file:///home/lina/data/deltas/de.mhus.lib/mhu-lib-annotations/3.3.2_to_3.3.4.delta|,1,2
|file:///home/lina/data/deltas/net.serenity-bdd/serenity-core/1.6.0_to_1.6.3.delta|,1,3
|file:///home/lina/data/deltas/org.apache.karaf.shell/org.apache.karaf.shell.console/2.2.4_to_2.2.5.delta|,1,3
|file:///home/lina/data/deltas/io.dropwizard.metrics/metrics-core/4.0.2_to_4.1.0-rc2.delta|,1,3
|file:///home/lina/data/deltas/org.apache.camel/camel-core/2.18.2_to_2.18.3.delta|,1,5
|file:///home/lina/data/deltas/org.apache.solr/solr-core/4.10.1_to_4.10.4.delta|,1,6
|file:///home/lina/data/deltas/org.apache.cxf/cxf-rt-ws-security/2.4.1_to_2.4.2.delta|,1,8
|file:///home/lina/data/deltas/net.serenity-bdd/serenity-core/1.8.12_to_1.8.16.delta|,1,8
|file:///home/lina/data/deltas/javax.ws.rs/javax.ws.rs-api/2.0-rc1_to_2.0-rc2.delta|,1,14
|file:///home/lina/data/deltas/com.typesafe.akka/akka-actor_2.11/2.3.3_to_2.3.4.delta|,1,15
|file:///home/lina/data/deltas/net.serenity-bdd/serenity-core/1.1.25-rc.3_to_1.1.31.delta|,1,15
|file:///home/lina/data/deltas/org.apache.camel/camel-core/2.10.3_to_2.10.4.delta|,1,17
|file:///home/lina/data/deltas/org.apache.kafka/kafka_2.12/1.1.0_to_1.1.1.delta|,1,18
|file:///home/lina/data/deltas/org.hibernate/hibernate-search-orm/5.5.3.Final_to_5.6.0.Beta1.delta|,1,20
|file:///home/lina/data/deltas/org.apache.samza/samza-api/0.7.0_to_0.8.0.delta|,1,20
|file:///home/lina/data/deltas/org.apache.samza/samza-api/0.8.0_to_0.9.1.delta|,1,22
|file:///home/lina/data/deltas/org.glassfish.jersey.core/jersey-common/2.7_to_2.8.delta|,1,24
|file:///home/lina/data/deltas/com.typesafe.akka/akka-actor_2.11/2.5.9_to_2.5.11.delta|,1,26
|file:///home/lina/data/deltas/org.apache.cxf/cxf-rt-ws-security/2.4.2_to_2.4.3.delta|,1,26
|file:///home/lina/data/deltas/org.hibernate/hibernate-search-orm/5.6.0.Alpha3_to_5.6.0.Beta1.delta|,1,26
|file:///home/lina/data/deltas/org.hibernate/hibernate-search-orm/5.5.4.Final_to_5.6.0.Beta2.delta|,1,28
|file:///home/lina/data/deltas/org.apache.camel/camel-core/2.10.1_to_2.10.2.delta|,1,28
|file:///home/lina/data/deltas/org.hibernate/hibernate-search-orm/5.5.5.Final_to_5.7.0.Beta2.delta|,1,30
|file:///home/lina/data/deltas/org.glassfish.jersey.core/jersey-common/2.26-b04_to_2.26-b05.delta|,1,30
|file:///home/lina/data/deltas/net.serenity-bdd/serenity-core/1.0.58_to_1.1.6.delta|,1,41
|file:///home/lina/data/deltas/org.activiti/activiti-engine/7-201801-EA_to_7.0.0.Beta1.delta|,1,43
|file:///home/lina/data/deltas/org.eclipse.jetty/jetty-io/8.0.4.v20111024_to_8.1.0.RC0.delta|,1,54
|file:///home/lina/data/deltas/org.pac4j/pac4j-oauth/1.4.1_to_1.5.1.delta|,1,59
|file:///home/lina/data/deltas/org.apache.karaf.shell/org.apache.karaf.shell.console/2.0.0_to_2.1.0.delta|,1,61
|file:///home/lina/data/deltas/org.apache.cxf/cxf-rt-ws-security/3.0.4_to_3.0.5.delta|,1,64
|file:///home/lina/data/deltas/org.springframework/spring-jdbc/1.2.8_to_2.0.delta|,1,65
|file:///home/lina/data/deltas/org.springframework/spring-jdbc/1.2.9_to_2.0.3.delta|,1,66
|file:///home/lina/data/deltas/nz.ac.waikato.cms.weka/weka-dev/3.7.6_to_3.7.7.delta|,1,68
|file:///home/lina/data/deltas/javax.ws.rs/javax.ws.rs-api/2.0-m12_to_2.0-m15.delta|,1,70
|file:///home/lina/data/deltas/org.apache.cxf/cxf-rt-ws-security/2.1.7_to_2.2.4.delta|,1,86
|file:///home/lina/data/deltas/org.apache.cxf/cxf-rt-ws-security/2.1.9_to_2.2.6.delta|,1,86
|file:///home/lina/data/deltas/javax.ws.rs/javax.ws.rs-api/2.0-m15_to_2.0-m16.delta|,1,87
|file:///home/lina/data/deltas/org.apache.cxf/cxf-rt-ws-security/2.1.10_to_2.2.9.delta|,1,97
|file:///home/lina/data/deltas/io.vertx/vertx-core/3.4.1_to_3.4.2.delta|,1,102
|file:///home/lina/data/deltas/org.apache.derby/derby/10.6.2.1_to_10.7.1.1.delta|,1,104
|file:///home/lina/data/deltas/org.springframework/spring-jdbc/1.2.6_to_2.0-m2.delta|,1,108
|file:///home/lina/data/deltas/org.springframework/spring-core/1.0.1_to_1.1.3.delta|,1,112
|file:///home/lina/data/deltas/org.apache.solr/solr-core/4.0.0-BETA_to_4.0.0.delta|,1,114
|file:///home/lina/data/deltas/io.vertx/vertx-core/3.0.0-milestone3_to_3.0.0-milestone4.delta|,1,119
|file:///home/lina/data/deltas/net.hydromatic/quidem/0.8_to_0.9.delta|,1,127
|file:///home/lina/data/deltas/org.springframework/spring-jdbc/1.2.7_to_2.0-m5.delta|,1,128
|file:///home/lina/data/deltas/org.scala-lang/scala-compiler/2.8.2.RC2_to_2.8.2.RC3.delta|,1,135
|file:///home/lina/data/deltas/io.vertx/vertx-core/2.1M2_to_2.1RC1.delta|,1,146
|file:///home/lina/data/deltas/org.apache.solr/solr-core/3.5.0_to_3.6.0.delta|,1,146
|file:///home/lina/data/deltas/org.scala-lang/scala-compiler/2.8.0.Beta1-RC5_to_2.8.0.Beta1.delta|,1,146
|file:///home/lina/data/deltas/net.serenity-bdd/serenity-core/1.5.9_to_1.6.0.delta|,1,155
|file:///home/lina/data/deltas/org.apache.santuario/xmlsec/1.4.0_to_1.4.2.delta|,1,159
|file:///home/lina/data/deltas/io.vertx/vertx-core/3.0.0_to_3.1.0.delta|,1,162
|file:///home/lina/data/deltas/org.apache.solr/solr-core/3.4.0_to_3.5.0.delta|,1,163
|file:///home/lina/data/deltas/com.typesafe.akka/akka-actor_2.11/2.4.16_to_2.5-M1.delta|,1,196
