field0,field1,field2
|file:///home/lina/data/deltas/com.android.tools/sdklib/23.1.3_to_23.2.1.delta|,1,1
|file:///home/lina/data/deltas/org.apache.santuario/xmlsec/2.0.1_to_2.0.2.delta|,1,1
|file:///home/lina/data/deltas/org.apache.cxf/cxf-rt-frontend-jaxws/2.4.4_to_2.4.5.delta|,1,1
|file:///home/lina/data/deltas/org.apache.cxf/cxf-rt-frontend-jaxws/2.5.0_to_2.5.1.delta|,1,1
|file:///home/lina/data/deltas/org.apache.cxf/cxf-rt-frontend-jaxws/2.1.1_to_2.1.2.delta|,1,1
|file:///home/lina/data/deltas/org.eclipse.jetty/jetty-io/9.0.0.v20130308_to_9.0.1.v20130408.delta|,1,1
|file:///home/lina/data/deltas/io.dropwizard/dropwizard-client/1.0.0_to_1.0.2.delta|,1,1
|file:///home/lina/data/deltas/org.apache.cxf/cxf-rt-frontend-jaxws/2.3.8_to_2.4.5.delta|,1,2
|file:///home/lina/data/deltas/org.apache.cxf/cxf-rt-ws-security/3.0.2_to_3.0.3.delta|,1,2
|file:///home/lina/data/deltas/org.apache.activemq/activemq-pool/5.2.0_to_5.3.0.delta|,1,2
|file:///home/lina/data/deltas/org.apache.camel/camel-cxf/2.21.1_to_2.22.0.delta|,1,2
|file:///home/lina/data/deltas/org.apache.cxf/cxf-rt-frontend-jaxws/2.3.10_to_2.4.7.delta|,1,2
|file:///home/lina/data/deltas/org.apache.cxf/cxf-rt-frontend-jaxws/2.3.11_to_2.4.8.delta|,1,2
|file:///home/lina/data/deltas/org.seleniumhq.selenium/selenium-firefox-driver/2.35.0_to_2.41.0.delta|,1,3
|file:///home/lina/data/deltas/org.apache.cxf/cxf-rt-ws-addr/2.2.11_to_2.3.0.delta|,1,3
|file:///home/lina/data/deltas/org.apache.cxf/cxf-rt-ws-addr/2.2.8_to_2.2.9.delta|,1,3
|file:///home/lina/data/deltas/org.apache.cxf/cxf-rt-ws-addr/2.2.12_to_2.3.1.delta|,1,4
|file:///home/lina/data/deltas/org.drools/drools-compiler/6.1.0.CR1_to_6.1.0.CR2.delta|,1,4
|file:///home/lina/data/deltas/com.typesafe.akka/akka-actor_2.11/2.5.0_to_2.5.1.delta|,1,5
|file:///home/lina/data/deltas/co.cask.cdap/cdap-etl-core/4.3.3_to_4.3.4.delta|,1,5
|file:///home/lina/data/deltas/io.dropwizard/dropwizard-client/1.2.0_to_1.2.2.delta|,1,6
|file:///home/lina/data/deltas/org.apache.ant/ant/1.9.7_to_1.9.8.delta|,1,6
|file:///home/lina/data/deltas/org.apache.cxf/cxf-rt-frontend-jaxws/2.7.2_to_2.7.3.delta|,1,7
|file:///home/lina/data/deltas/org.seleniumhq.selenium/selenium-firefox-driver/2.25.0_to_2.26.0.delta|,1,8
|file:///home/lina/data/deltas/org.eclipse.persistence/eclipselink/2.6.0-RC1_to_2.6.0.delta|,1,9
|file:///home/lina/data/deltas/org.activiti/activiti-engine/5.19.0.1_to_5.19.0.2.delta|,1,11
|file:///home/lina/data/deltas/org.ehcache/ehcache/3.1.1_to_3.1.2.delta|,1,11
|file:///home/lina/data/deltas/org.eclipse.jetty/jetty-io/9.4.0.M1_to_9.4.0.RC0.delta|,1,13
|file:///home/lina/data/deltas/org.drools/drools-compiler/6.0.0.Beta5_to_6.0.0.CR1.delta|,1,13
|file:///home/lina/data/deltas/org.drools/drools-compiler/7.7.0.Final_to_7.8.0.Final.delta|,1,17
|file:///home/lina/data/deltas/org.drools/drools-compiler/7.0.0.Beta1_to_7.0.0.Beta2.delta|,1,18
|file:///home/lina/data/deltas/org.uberfire/uberfire-widgets-core-client/1.1.0.Beta1_to_1.1.0.Beta2.delta|,1,19
|file:///home/lina/data/deltas/org.openehealth.ipf.platform-camel/ipf-platform-camel-hl7/3.4-20170926_to_3.4-20171025.delta|,1,19
|file:///home/lina/data/deltas/org.uberfire/uberfire-widgets-core-client/1.0.0.Final_to_1.1.0.Beta2.delta|,1,19
|file:///home/lina/data/deltas/org.springframework/spring-jdbc/2.0.4_to_2.0.5.delta|,1,21
|file:///home/lina/data/deltas/org.kie.server/kie-server-services-common/6.4.0.Final_to_7.6.0.Final.delta|,1,23
|file:///home/lina/data/deltas/org.apache.activemq/activemq-pool/5.3.0_to_5.4.2.delta|,1,24
|file:///home/lina/data/deltas/org.eclipse.jetty/jetty-io/9.4.7.v20170914_to_9.4.8.v20171121.delta|,1,26
|file:///home/lina/data/deltas/org.springframework/spring-jdbc/3.2.1.RELEASE_to_3.2.2.RELEASE.delta|,1,26
|file:///home/lina/data/deltas/org.eclipse.jetty/jetty-io/9.4.7.v20180619_to_9.4.8.v20180619.delta|,1,26
|file:///home/lina/data/deltas/org.springframework/spring-context-support/2.5.6.SEC01_to_3.0.0.RELEASE.delta|,1,29
|file:///home/lina/data/deltas/org.springframework/spring-context-support/2.5.6.SEC02_to_3.0.4.RELEASE.delta|,1,29
|file:///home/lina/data/deltas/org.apache.sshd/sshd-core/0.3.0_to_0.4.0.delta|,1,30
|file:///home/lina/data/deltas/org.eclipse.jetty/jetty-io/9.4.8.v20171121_to_9.4.9.v20180320.delta|,1,30
|file:///home/lina/data/deltas/com.typesafe.akka/akka-actor_2.11/2.5.12_to_2.5.13.delta|,1,30
|file:///home/lina/data/deltas/org.activiti/activiti-engine/5.18.0_to_5.19.0.delta|,1,32
|file:///home/lina/data/deltas/org.apache.hadoop/hadoop-mapreduce-client-core/2.7.3_to_2.8.0.delta|,1,34
|file:///home/lina/data/deltas/org.eclipse.jetty/jetty-io/9.4.8.v20180619_to_9.4.12.RC0.delta|,1,35
|file:///home/lina/data/deltas/org.apache.cxf/cxf-rt-frontend-jaxws/2.3.9_to_2.4.6.delta|,1,36
|file:///home/lina/data/deltas/org.drools/drools-compiler/6.0.1.Final_to_6.1.0.Beta1.delta|,1,39
|file:///home/lina/data/deltas/org.apache.cxf/cxf-rt-frontend-jaxws/2.1.2_to_2.1.3.delta|,1,40
|file:///home/lina/data/deltas/org.apache.hadoop/hadoop-mapreduce-client-core/2.6.5_to_2.8.0.delta|,1,44
|file:///home/lina/data/deltas/org.ehcache/ehcache/3.0.1_to_3.0.2.delta|,1,48
|file:///home/lina/data/deltas/org.apache.cxf/cxf-rt-ws-policy/2.1.7_to_2.2.4.delta|,1,57
|file:///home/lina/data/deltas/org.apache.ant/ant/1.7.0_to_1.7.1.delta|,1,57
|file:///home/lina/data/deltas/org.apache.cxf/cxf-rt-ws-policy/2.1.9_to_2.2.6.delta|,1,59
|file:///home/lina/data/deltas/org.apache.cxf/cxf-rt-ws-policy/2.1.10_to_2.2.9.delta|,1,59
|file:///home/lina/data/deltas/org.apache.derby/derby/10.8.1.2_to_10.8.2.2.delta|,1,60
|file:///home/lina/data/deltas/org.apache.karaf.shell/org.apache.karaf.shell.console/2.2.7_to_2.2.8.delta|,1,60
|file:///home/lina/data/deltas/org.apache.cxf/cxf-rt-ws-security/2.5.3_to_2.6.0.delta|,1,64
|file:///home/lina/data/deltas/org.apache.cxf/cxf-rt-ws-security/2.5.5_to_2.6.2.delta|,1,69
|file:///home/lina/data/deltas/org.springframework/spring-jdbc/2.0.7_to_2.5.delta|,1,74
|file:///home/lina/data/deltas/org.apache.derby/derby/10.12.1.1_to_10.13.1.1.delta|,1,75
|file:///home/lina/data/deltas/org.springframework/spring-jdbc/2.0.8_to_2.5.1.delta|,1,76
|file:///home/lina/data/deltas/org.springframework/spring-jdbc/4.1.7.RELEASE_to_4.2.0.RELEASE.delta|,1,77
|file:///home/lina/data/deltas/org.springframework/spring-jdbc/4.1.8.RELEASE_to_4.2.2.RELEASE.delta|,1,79
|file:///home/lina/data/deltas/org.springframework/spring-jdbc/4.1.9.RELEASE_to_4.2.4.RELEASE.delta|,1,79
|file:///home/lina/data/deltas/org.apache.cxf/cxf-rt-ws-security/2.1.7_to_2.2.4.delta|,1,86
|file:///home/lina/data/deltas/org.apache.cxf/cxf-rt-ws-security/2.1.9_to_2.2.6.delta|,1,86
|file:///home/lina/data/deltas/org.apache.cxf/cxf-rt-ws-security/2.5.4_to_2.6.1.delta|,1,94
|file:///home/lina/data/deltas/org.apache.cxf/cxf-rt-ws-security/2.5.6_to_2.6.3.delta|,1,98
|file:///home/lina/data/deltas/org.drools/drools-compiler/7.4.1.Final_to_7.5.0.t018.delta|,1,99
|file:///home/lina/data/deltas/org.springframework/spring-jdbc/3.2.14.RELEASE_to_4.2.0.RELEASE.delta|,1,99
|file:///home/lina/data/deltas/org.springframework/spring-jdbc/3.2.17.RELEASE_to_4.3.0.RELEASE.delta|,1,101
|file:///home/lina/data/deltas/org.springframework/spring-jdbc/3.2.16.RELEASE_to_4.2.5.RELEASE.delta|,1,101
|file:///home/lina/data/deltas/org.springframework/spring-jdbc/3.2.18.RELEASE_to_4.3.6.RELEASE.delta|,1,103
|file:///home/lina/data/deltas/com.android.tools/sdklib/22.7.2_to_22.8.0.delta|,1,109
|file:///home/lina/data/deltas/org.springframework/spring-jdbc/1.2.7_to_2.0-m5.delta|,1,128
|file:///home/lina/data/deltas/org.apache.cxf/cxf-rt-ws-security/2.7.5_to_2.7.6.delta|,1,128
