field0,field1,field2
|file:///home/lina/data/deltas/org.kie.server/kie-server-services-common/7.6.0.Final_to_7.7.0.Final.delta|,1,1
|file:///home/lina/data/deltas/org.eclipse.jetty/jetty-io/9.3.9.v20160517_to_9.3.10.M0.delta|,1,1
|file:///home/lina/data/deltas/net.serenity-bdd/serenity-core/1.5.4-rc.1_to_1.5.4-rc.2.delta|,1,2
|file:///home/lina/data/deltas/org.springframework/spring-jdbc/5.0.2.RELEASE_to_5.0.3.RELEASE.delta|,1,3
|file:///home/lina/data/deltas/org.typelevel/scala-library/2.12.1_to_2.12.2-bin-typelevel-4.delta|,1,5
|file:///home/lina/data/deltas/org.scala-lang/scala-library/2.12.1_to_2.12.2.delta|,1,5
|file:///home/lina/data/deltas/org.springframework/spring-core/5.0.4.RELEASE_to_5.0.5.RELEASE.delta|,1,6
|file:///home/lina/data/deltas/co.fs2/fs2-core_2.12/0.9.2_to_0.9.4.delta|,1,9
|file:///home/lina/data/deltas/io.vertx/vertx-core/3.3.0_to_3.3.1.delta|,1,10
|file:///home/lina/data/deltas/org.eclipse.jetty/jetty-http/9.4.1.v20180619_to_9.4.2.v20180619.delta|,1,11
|file:///home/lina/data/deltas/org.eclipse.jetty/jetty-http/9.4.1.v20170120_to_9.4.2.v20170220.delta|,1,11
|file:///home/lina/data/deltas/org.eclipse.jetty/jetty-io/9.4.0.M1_to_9.4.0.RC0.delta|,1,13
|file:///home/lina/data/deltas/org.apache.hyracks/algebricks-core/0.3.1_to_0.3.2.delta|,1,14
|file:///home/lina/data/deltas/org.drools/drools-compiler/7.7.0.Final_to_7.8.0.Final.delta|,1,17
|file:///home/lina/data/deltas/org.specs2/specs2-scalacheck_2.12/3.8.6_to_3.9.1.delta|,1,18
|file:///home/lina/data/deltas/javax.ws.rs/javax.ws.rs-api/2.1-m07_to_2.1-m08.delta|,1,18
|file:///home/lina/data/deltas/org.kie.server/kie-server-services-common/6.4.0.Final_to_7.6.0.Final.delta|,1,23
|file:///home/lina/data/deltas/org.drools/drools-compiler/7.6.0.t022_to_7.7.0.Final.delta|,1,26
|file:///home/lina/data/deltas/org.scala-lang/scala-compiler/2.12.0-RC1_to_2.12.0-RC2.delta|,1,26
|file:///home/lina/data/deltas/org.drools/drools-compiler/7.6.0.Final_to_7.7.0.Final.delta|,1,26
|file:///home/lina/data/deltas/org.drools/drools-compiler/7.1.0.Beta3_to_7.1.0.Final.delta|,1,27
|file:///home/lina/data/deltas/org.apache.commons/commons-dbcp2/2.4.0_to_2.5.0.delta|,1,27
|file:///home/lina/data/deltas/org.daisy.dotify/dotify.task-api/2.3.0_to_3.1.0.delta|,1,36
|file:///home/lina/data/deltas/org.eclipse.jetty/jetty-http/9.3.18.v20170406_to_9.4.4.v20170414.delta|,1,37
|file:///home/lina/data/deltas/org.eclipse.jetty/jetty-http/9.3.17.v20170317_to_9.4.3.v20170317.delta|,1,37
|file:///home/lina/data/deltas/org.eclipse.jetty/jetty-http/9.3.22.v20171030_to_9.4.8.v20171121.delta|,1,37
|file:///home/lina/data/deltas/org.eclipse.jetty/jetty-http/9.3.20.v20170531_to_9.4.6.v20170531.delta|,1,37
