field0,field1,field2
|file:///home/lina/data/deltas/com.netflix.eureka/eureka-client/1.6.2_to_1.7.0.delta|,1,1
|file:///home/lina/data/deltas/org.apache.camel/camel-flatpack/2.16.1_to_2.16.2.delta|,1,1
|file:///home/lina/data/deltas/org.apache.camel/camel-amqp/2.12.2_to_2.14.0.delta|,1,2
|file:///home/lina/data/deltas/org.jboss.resteasy/resteasy-jsapi/3.0.14.Final_to_3.0.18.Final.delta|,1,3
|file:///home/lina/data/deltas/org.apache.camel/camel-mail/2.17.2_to_2.18.0.delta|,1,3
|file:///home/lina/data/deltas/org.seleniumhq.selenium/selenium-firefox-driver/3.4.0_to_3.5.1.delta|,1,5
|file:///home/lina/data/deltas/org.apache.camel/camel-http/2.8.5_to_2.13.0.delta|,1,9
|file:///home/lina/data/deltas/org.apache.cxf/cxf-rt-ws-security/2.6.4_to_2.7.1.delta|,1,10
|file:///home/lina/data/deltas/org.apache.cxf/cxf-rt-ws-security/2.6.5_to_2.7.2.delta|,1,11
|file:///home/lina/data/deltas/org.glassfish.jersey.core/jersey-common/2.0-m13-1_to_2.0-m13-2.delta|,1,15
|file:///home/lina/data/deltas/org.apache.camel/camel-cxf/2.0-M3_to_2.0.0.delta|,1,16
|file:///home/lina/data/deltas/org.apache.cxf/cxf-rt-ws-security/3.0.1_to_3.0.2.delta|,1,24
|file:///home/lina/data/deltas/org.apache.camel/camel-cxf/2.12.2_to_2.13.0.delta|,1,26
|file:///home/lina/data/deltas/org.springframework/spring-core/4.3.5.RELEASE_to_4.3.6.RELEASE.delta|,1,27
|file:///home/lina/data/deltas/org.apache.camel/camel-mail/2.6.0_to_2.9.2.delta|,1,28
|file:///home/lina/data/deltas/org.apache.camel/camel-core/2.10.1_to_2.10.2.delta|,1,28
|file:///home/lina/data/deltas/org.apache.sshd/sshd-core/0.3.0_to_0.4.0.delta|,1,30
|file:///home/lina/data/deltas/org.apache.sshd/sshd-core/0.5.0_to_0.6.0.delta|,1,32
|file:///home/lina/data/deltas/org.glassfish.jersey.core/jersey-common/2.6_to_2.7.delta|,1,39
|file:///home/lina/data/deltas/org.apache.camel/camel-cxf/2.0.0_to_2.2.0.delta|,1,44
|file:///home/lina/data/deltas/org.apache.camel/camel-irc/2.8.1_to_2.18.0.delta|,1,45
|file:///home/lina/data/deltas/org.springframework/spring-context-support/3.0.7.RELEASE_to_3.1.1.RELEASE.delta|,1,49
|file:///home/lina/data/deltas/org.springframework/spring-context-support/3.0.6.RELEASE_to_3.1.0.RELEASE.delta|,1,49
|file:///home/lina/data/deltas/org.commonjava.aprox/aprox-api/0.9.1_to_0.10.0.delta|,1,51
|file:///home/lina/data/deltas/org.apache.derby/derby/10.8.1.2_to_10.8.2.2.delta|,1,60
|file:///home/lina/data/deltas/com.typesafe.akka/akka-cluster_2.11/2.5.3_to_2.5.4.delta|,1,64
|file:///home/lina/data/deltas/org.springframework/spring-context-support/4.0.9.RELEASE_to_4.1.5.RELEASE.delta|,1,80
|file:///home/lina/data/deltas/org.springframework/spring-context-support/4.0.6.RELEASE_to_4.1.0.RELEASE.delta|,1,80
|file:///home/lina/data/deltas/org.springframework/spring-context-support/4.0.8.RELEASE_to_4.1.2.RELEASE.delta|,1,80
