field0,field1,field2
|file:///home/lina/data/deltas/org.eclipse.jetty/jetty-jmx/9.4.7.RC0_to_9.4.7.v20170914.delta|,1,1
|file:///home/lina/data/deltas/net.serenity-bdd/serenity-core/1.2.1-rc.4_to_1.2.1-rc.5.delta|,1,1
|file:///home/lina/data/deltas/com.typesafe.akka/akka-actor_2.11/2.4.9_to_2.4.10.delta|,1,1
|file:///home/lina/data/deltas/org.apache.karaf.shell/org.apache.karaf.shell.console/2.2.8_to_2.2.9.delta|,1,1
|file:///home/lina/data/deltas/org.springframework/spring-expression/4.1.9.RELEASE_to_4.2.4.RELEASE.delta|,1,1
|file:///home/lina/data/deltas/org.seleniumhq.selenium/selenium-firefox-driver/2.42.2_to_2.43.1.delta|,1,1
|file:///home/lina/data/deltas/org.eclipse.jetty/jetty-io/7.4.1.v20110513_to_7.4.2.v20110526.delta|,1,1
|file:///home/lina/data/deltas/org.eclipse.jetty/jetty-io/9.3.0.v20150612_to_9.3.1.v20150714.delta|,1,1
|file:///home/lina/data/deltas/org.openehealth.ipf.platform-camel/ipf-platform-camel-hl7/3.1-20160314_to_3.1.1.delta|,1,1
|file:///home/lina/data/deltas/net.serenity-bdd/serenity-core/1.3.1-rc.1_to_1.4.0.delta|,1,1
|file:///home/lina/data/deltas/org.apache.cxf/cxf-rt-ws-policy/2.5.2_to_2.5.3.delta|,1,1
|file:///home/lina/data/deltas/org.eclipse.jetty/jetty-io/9.3.8.v20160314_to_9.3.9.M0.delta|,1,1
|file:///home/lina/data/deltas/net.serenity-bdd/serenity-core/1.9.7_to_1.9.8.delta|,1,1
|file:///home/lina/data/deltas/org.wso2.carbon.identity.framework/org.wso2.carbon.identity.application.common/5.10.19_to_5.10.20.delta|,1,1
|file:///home/lina/data/deltas/org.seleniumhq.selenium/selenium-firefox-driver/3.3.0_to_3.3.1.delta|,1,1
|file:///home/lina/data/deltas/org.springframework/spring-expression/4.1.7.RELEASE_to_4.2.0.RELEASE.delta|,1,1
|file:///home/lina/data/deltas/org.springframework/spring-core/3.0.5.RELEASE_to_3.0.6.RELEASE.delta|,1,1
|file:///home/lina/data/deltas/org.springframework/spring-core/4.0.3.RELEASE_to_4.0.4.RELEASE.delta|,1,1
|file:///home/lina/data/deltas/org.springframework/spring-core/3.0.4.RELEASE_to_3.0.5.RELEASE.delta|,1,1
|file:///home/lina/data/deltas/org.springframework/spring-expression/4.1.8.RELEASE_to_4.2.2.RELEASE.delta|,1,1
|file:///home/lina/data/deltas/org.scala-lang/scala-compiler/2.8.1.RC3_to_2.8.1.RC4.delta|,1,1
|file:///home/lina/data/deltas/org.eclipse.jetty/jetty-http/8.1.5.v20120716_to_8.1.6.v20120903.delta|,1,1
|file:///home/lina/data/deltas/org.springframework/spring-jdbc/2.0.3_to_2.0.4.delta|,1,1
|file:///home/lina/data/deltas/io.dropwizard/dropwizard-client/0.7.0_to_0.7.1.delta|,1,1
|file:///home/lina/data/deltas/io.hawt/hawtio-git/1.4.29_to_1.4.30.delta|,1,1
|file:///home/lina/data/deltas/org.eclipse.jetty/jetty-io/9.0.2.v20130417_to_9.0.3.v20130506.delta|,1,1
